character	killed by	death	type
<10> Ghost	Ritsuka Fujimaru | Mash Kyrielight	Defeated by Ritsuka Fujimaru's party (Section 4)	
<10> Golem	Ritsuka Fujimaru | Mash Kyrielight	Defeated by Ritsuka Fujimaru's party (Section 11)	
<10> Roman Soldier	Ritsuka Fujimaru | Mash Kyrielight | Nero Claudius	Defeated by Ritsuka Fujimaru's party (Section 7)	
<15> Roman Soldier	Ritsuka Fujimaru | Mash Kyrielight	Defeated by Ritsuka Fujimaru's party (Section 5)	
<16> Roman Soldier	Ritsuka Fujimaru | Mash Kyrielight	Defeated by Ritsuka Fujimaru's party (Section 3)	
<16> Skeleton	Ritsuka Fujimaru | Mash Kyrielight | Nero Claudius	Defeated by Ritsuka Fujimaru's party (Section 11)	
<17> Roman Soldier	Ritsuka Fujimaru | Mash Kyrielight	Defeated by Ritsuka Fujimaru's party (Section 2)	
<1> Arm of Dawn	Ritsuka Fujimaru | Mash Kyrielight	Defeated by Ritsuka Fujimaru's party (Section 4)	
<1> Chimera	Ritsuka Fujimaru | Mash Kyrielight | Nero Claudius	Defeated by Ritsuka Fujimaru's party (Section 9)	
<1> Chimera	Ritsuka Fujimaru | Mash Kyrielight | Nero Claudius | Jing Ke | Boudica	Defeated by Ritsuka Fujimaru's party (Section 15)	
<1> Golem	Ritsuka Fujimaru | Mash Kyrielight | Nero Claudius	Defeated by Ritsuka Fujimaru's party (Section 10)	
<1> Golem	Ritsuka Fujimaru | Mash Kyrielight | Nero Claudius | Boudica	Defeated by Ritsuka Fujimaru's party (Section 11)	
<1> Roman Captain	Ritsuka Fujimaru | Mash Kyrielight	Defeated by Ritsuka Fujimaru's party (Section 13)	
<1> Stone Golem	Ritsuka Fujimaru | Mash Kyrielight | Nero Claudius	Defeated by Ritsuka Fujimaru's party (Section 12)	
<26> Spartan Soldier	Ritsuka Fujimaru | Mash Kyrielight | Nero Claudius	Defeated by Ritsuka Fujimaru's party (Section 10)	
<28> Skeleton	Ritsuka Fujimaru | Mash Kyrielight | Nero Claudius	Defeated by Ritsuka Fujimaru's party (Section 9)	
<2> Hand of Dawn	Ritsuka Fujimaru | Mash Kyrielight	Defeated by Ritsuka Fujimaru's party (Section 4)	
<2> Roman Soldier	Ritsuka Fujimaru | Mash Kyrielight | Nero Claudius	Defeated by Ritsuka Fujimaru's party (Section 12)	
<2> Skeleton	Ritsuka Fujimaru | Mash Kyrielight	Defeated by Ritsuka Fujimaru's party (Section 4)	
<2> Stone Golem	Ritsuka Fujimaru | Mash Kyrielight	Defeated by Ritsuka Fujimaru's party (Section 13)	
<2> Stone Golem	Ritsuka Fujimaru | Mash Kyrielight | Nero Claudius | Jing Ke | Boudica	Defeated by Ritsuka Fujimaru's party (Section 15)	
<2> Wyvern	Ritsuka Fujimaru | Mash Kyrielight | Nero Claudius | Jing Ke | Boudica	Defeated by Ritsuka Fujimaru's party (Section 15)	
<2> Wyvern Evil	Ritsuka Fujimaru | Mash Kyrielight | Nero Claudius | Jing Ke | Boudica	Defeated by Ritsuka Fujimaru's party (Section 15)	
<3> Chimera	Ritsuka Fujimaru | Mash Kyrielight | Nero Claudius | Jing Ke	Defeated by Ritsuka Fujimaru's party (Section 14)	
<3> Golem	Ritsuka Fujimaru | Mash Kyrielight | Nero Claudius	Defeated by Ritsuka Fujimaru's party (Section 12)	
<3> Golem	Ritsuka Fujimaru | Mash Kyrielight | Nero Claudius | Jing Ke | Boudica	Defeated by Ritsuka Fujimaru's party (Section 15)	
<3> Stone Golem	Ritsuka Fujimaru | Mash Kyrielight | Nero Claudius | Jing Ke	Defeated by Ritsuka Fujimaru's party (Section 14)	
<4> Ghost	Ritsuka Fujimaru | Mash Kyrielight | Nero Claudius	Defeated by Ritsuka Fujimaru's party (Section 9)	
<4> Golem	Ritsuka Fujimaru | Mash Kyrielight	Defeated by Ritsuka Fujimaru's party (Section 13)	
<5> Golem	Ritsuka Fujimaru | Mash Kyrielight | Nero Claudius | Jing Ke	Defeated by Ritsuka Fujimaru's party (Section 14)	
<5> Roman Soldier	Ritsuka Fujimaru | Mash Kyrielight	Defeated by Ritsuka Fujimaru's party (Section 13)	
<5> Roman Soldier	Ritsuka Fujimaru | Mash Kyrielight	Defeated by Ritsuka Fujimaru's party (Section 6)	
<5> Roman Soldier	Ritsuka Fujimaru | Mash Kyrielight | Nero Claudius	Defeated by Ritsuka Fujimaru's party (Section 8)	
<5> Skeleton	Ritsuka Fujimaru | Mash Kyrielight	Defeated by Ritsuka Fujimaru's party (Section 13)	
<5> Thug	Ritsuka Fujimaru | Mash Kyrielight | Nero Claudius	Defeated by Ritsuka Fujimaru's party (Section 3)	
<6> Golem	Ritsuka Fujimaru | Mash Kyrielight | Nero Claudius	Defeated by Ritsuka Fujimaru's party (Section 7)	
<6> Roman Soldier	Ritsuka Fujimaru | Mash Kyrielight | Nero Claudius | Boudica	Defeated by Ritsuka Fujimaru's party (Section 11)	
