character	killed by	death	type
<126,701> other people	Natsuki Subaru	Murdered by or deaths caused by Natsuki Subaru	
Beatrice	Natsuki Subaru | Halibel	Stabbed with a kunai by Natsuki Subaru while incapacitated by Halibel	
Crusch Karsten	White Whale	Erased by the White Whale using her Mist of Annihilation	
Halibel	Reinhard van Astrea	Struck down by Reinhard van Astrea	
Natsuki Subaru	Ram | Natsuki Subaru	Let himself be murdered by Ram	
Puck	Reinhard van Astrea	Struck down by Reinhard van Astrea	
Rem	Meili Portroute | Mother	Mana drained after being cursed via a Wolgarm's bite, manipulated by Meili Portroute, on orders from Mother	
Roswaal L. Mathers	Cecilus Segmunt | Natsuki Subaru	Cut down by Cecilus Segmunt on orders from Natsuki Subaru	
Sigrum	Halibel | Natsuki Subaru	Beheaded by Halibel on orders from Natsuki Subaru	
Wilhelm van Astrea	White Whale	Erased by the White Whale using her Mist of Annihilation	
